Alarm,Sub-Code,Message,Cause
0020,0001,CPU COMMUNICATION ERROR,NCP30. An error occurred in communications between boards when the control power turned ON due to: - Insertion of the circuit board is not completed. - Defective circuit board. - Corrupt memory on the CF The sub code stands for the defective board. 
0020,0032,CPU COMMUNICATION ERROR,AXC01. An error occurred in communications between boards when the control power turned ON due to: - Insertion of the circuit board is not completed. - Defective circuit board. - Corrupt memory on the CF The sub code stands for the defective board. 01: NCP30 32: AXC01
0021,0032,COMMUNICATION ERROR (SERVO),The communications CPU for the AXC01 detected an error when the control power turned ON due to: - Defective connection of communication cable for servopack - Defective connection of terminal connector - Defective circuit board - Corrupt memory on the CF
0030,0032,ROM ERROR,The system program of AXC01 is damaged.
0060,0001,COMMUNICATION ERROR (I/O MODULE),An error was detected in communications with an I/O module board (NIF30) when the control power turned ON.
0100,0001-0002,COMMUNICATION ERROR ,An error was detected in communications with the AXC01. The sub code stands for the alarm factor. 01: Abnormal AXC01 serial communication Watch Dog value. 02: AXC01 serial communication watch dog missed one scan cycle. 
0200,0000-005F, MEMORY ERROR (PARAMETER FILE) , The parameter file is damaged due to: - corrupt memory on the CF - corrupt memory on the NCP30 The sub code stands for the defective internal data file. 
0210,0000, MEMORY ERROR (SYSTEM CONFIGDATA) , The system configuration information data are damaged due to: - corrupt memory on the CF - corrupt memory on the NCP30 
0220,0001, MEMORY ERROR (JOB MNG DATA) , The management data of job files are damaged due to: - corrupt memory on the CF - corrupt memory on the NCP30 
0220,0002, MEMORY ERROR (JOB MNG DATA) , The job files are damaged due to: - corrupt memory on the CF - corrupt memory on the NCP30 
0220,0003, MEMORY ERROR (JOB MNG DATA) , The management data of position data files are damaged due to: - corrupt memory on the CF - corrupt memory on the NCP30 
0230,0000, MEMORY ERROR (LADDER PRG FILE) , The concurrent I/O ladder program is damaged due to: - corrupt memory on the CF - corrupt memory on the NCP30 
0270,0000, MEMORY ERROR (SYSTEM DATA FILE) , The system configuration data is damaged due to: - corrupt memory on the CF - corrupt memory on the NCP30 
0300,0002, VERIFY ERROR (SYSTEM CONFIGDATA), The setting of concurrent I/O parameter is incorrect due to: - corrupt memory on the CF - corrupt memory on the NCP30 
0300,0003, VERIFY ERROR (SYSTEM CONFIGDATA), An invalid value is set for the segment clock due to: - corrupt memory on the CF - corrupt memory on the NCP30 
0300,0004, VERIFY ERROR (SYSTEM CONFIGDATA), Inconsistency was detected in axisrelated parameters due to: - corrupt memory on the CF - corrupt memory on the NCP30 
0300,0008, VERIFY ERROR (SYSTEM CONFIGDATA), The function designation for the concurrent I/O parameter is incorrect due to: - corrupt memory on the CF - corrupt memory on the NCP30
0310,0000,VERIFY ERROR (CMOS MEMORY SIZE) ,The CMOS memory capacity is different from its initial setting. 
0320,0001, VERIFY ERROR (I/O MODULE) , The function of the connected I/O module is different from the set function. 
0330,0000, VERIFY ERROR (SENSOR FUNCTION) , Inconsistency was detected in the application setting parameters. 
0400,0032, PARAMETER TRANSMISSION ERROR , An error occurred during the parameter/ file transfer to the AXC01 due to: - Defective connection of communication cable for servopack - Defective connection of terminal connector - Defective circuit board - Corrupt memory on the CF 
0410,0032, MODE CHANGE ERROR ," An error occurred during startup sequence processing with the AXC01, and the system did not startup normally. "
0500,0000, SEGMENT PROC NOT READY , Motion command processing was not completed within the specified time. 
0510,0032, SOFTWARE VERSION UNMATCH , The combination of the main system program and the AXC01 system program are incorrect. 
0900,0000, WATCHDOG TIMER ERROR(NCP 30) , An insertion error of the NCP30 circuit board or defective circuit board 
0950,0000, CPU ERROR , The servo board #1 is defective. ï An error was detected in the CPU of servo board #1. 
1001,0001-0018, ROM ERROR, An error is found at the sum check of the system programs for the AXC01. The sub code stands for the alarm factor.
1030,0000-000F,MEMORY ERROR (PARAMETER FILE) ,"This alarm occurs when there is a mismatch between the parameter file data and the CF data. Another possibility is corrupt CF data or corrupt memory. The sub code stands for the parameter type. 00: RCD,RCxG parameter error 01: ROxG parameter error 02: SVD,SVxG parameter error 03: SVMxG parameter error 04: S1CxG,S2C,S3C,S4C parameter error 05: S1D,S2D,S3D,S4D parameter error 06: CIO parameter error 07: FD parameter error 08: A1P parameter error 09: RS parameter error 0A: S1E parameter error 0B: SVxB parameter error 0C: AMCxG parameter error 0D: SVPxG parameter error 0E: MFxG parameter error 0F: SVxS parameter error "
